INSERT INTO
bookhasauthor(isbn, authorId)
(1000003858,'6'),
(1000003858,'7'),
(1000003859,'19'),
(1000003860,'20'),
(1000003861,'27'),
(1000003862,'8'),
(1000003862,'9'),
(1000003862,'21'),
(1000003863,'22'),
(1000003864,'30'),
(1000003865,'10'),
(1000003865,'28'),
(1000003865,'23'),
(1000003866,'11'),
(1000003866,'12'),
(1000003866,'29'),
(1000003867,'13'),
(1000003867,'14'),
(1000003867,'15'),
(1000003868,'24'),
(1000003868,'25'),
(1000003869,'1'),
(1000003870,'2'),
(1000003870,'26'),
(1000003870,'16'),
(1000003871,'17'),
(1000003871,'3'),
(1000003871,'4'),
(1000003872,'5'),
(1000003873,'18'),
(1000003873,'6'),
(1000003873,'7'),
(1000003874,'19'),
(1000003875,'20'),
(1000003875,'27'),
(1000003875,'8'),
(1000003876,'9'),
(1000003877,'21'),
(1000003877,'22'),
(1000003878,'30'),
(1000003878,'10'),
(1000003878,'28'),
(1000003879,'23'),
(1000003879,'11'),
(1000003880,'12'),
(1000003880,'29'),
(1000003881,'13'),
(1000003881,'14'),
(1000003882,'15'),
(1000003883,'24'),
(1000003883,'25'),
(1000003884,'1'),
(1000003884,'2'),
(1000003885,'26'),
(1000003885,'16'),
(1000003885,'17'),
(1000003886,'3'),
(1000003886,'4'),
(1000003887,'5'),
(1000003887,'18'),
(1000003887,'6'),
(1000003888,'7'),
(1000003889,'19'),
(1000003889,'20'),
(1000003890,'27'),
(1000003891,'8'),
(1000003891,'9'),
(1000003891,'21'),
(1000003892,'22'),
(1000003892,'30'),
(1000003893,'10'),
(1000003894,'28'),
(1000003894,'23'),
(1000003894,'11'),
(1000003895,'12'),
(1000003895,'29'),
(1000003896,'13'),
(1000003896,'14'),
(1000003897,'15'),
(1000003897,'24'),
(1000003897,'25'),
(1000003898,'1'),
(1000003898,'2'),
(1000003898,'26'),
(1000003899,'16'),
(1000003899,'17'),
(1000003900,'3'),
(1000003901,'4'),
(1000003902,'5'),
(1000003903,'18'),
(1000003904,'6'),
(1000003904,'7'),
(1000003904,'19'),
(1000003905,'20'),
(1000003905,'27'),
(1000003906,'8'),
(1000003906,'9'),
(1000003907,'21'),
(1000003908,'22'),
(1000003908,'30'),
(1000003909,'10'),
(1000003909,'28'),
(1000003909,'23'),
(1000003910,'11'),
(1000003910,'12'),
(1000003910,'29'),
(1000003911,'13'),
(1000003911,'14'),
(1000003911,'15'),
(1000003912,'24'),
(1000003913,'25'),
(1000003913,'1'),
(1000003913,'2'),
(1000003914,'26'),
(1000003915,'16'),
(1000003916,'17'),
(1000003917,'3'),
(1000003917,'4'),
(1000003917,'5'),
(1000003918,'18'),
(1000003918,'6'),
(1000003919,'7'),
(1000003919,'19'),
(1000003919,'20'),
(1000003920,'27'),
(1000003920,'8'),
(1000003920,'9'),
(1000003921,'21'),
(1000003921,'22'),
(1000003921,'30'),
(1000003922,'10'),
(1000003923,'28'),
(1000003923,'23'),
(1000003923,'11'),
(1000003924,'12'),
(1000003925,'29'),
(1000003926,'13'),
(1000003927,'14'),
(1000003927,'15'),
(1000003927,'24'),
(1000003928,'25'),
(1000003928,'1'),
(1000003928,'2'),
(1000003929,'26'),
(1000003930,'16'),
(1000003930,'17'),
(1000003930,'3'),
(1000003931,'4'),
(1000003931,'5'),
(1000003931,'18'),
(1000003932,'6'),
(1000003932,'7'),
(1000003933,'19'),
(1000003933,'20'),
(1000003933,'27'),
(1000003934,'8'),
(1000003935,'9'),
(1000003935,'21'),
(1000003936,'22'),
(1000003936,'30'),
(1000003936,'10'),
(1000003937,'28'),
(1000003938,'23'),
(1000003938,'11'),
(1000003939,'12'),
(1000003940,'29'),
(1000003940,'13'),
(1000003940,'14'),
(1000003941,'15'),
(1000003942,'24'),
(1000003942,'25'),
(1000003943,'1'),
(1000003944,'2'),
(1000003944,'26'),
(1000003945,'16'),
(1000003945,'17'),
(1000003945,'3'),
(1000003946,'4'),
(1000003947,'5'),
(1000003947,'18'),
(1000003947,'6'),
(1000003948,'7'),
(1000003948,'19'),
(1000003948,'20'),
(1000003949,'27'),
(1000003950,'8'),
(1000003950,'9'),
(1000003951,'21'),
(1000003951,'22'),
(1000003951,'30'),
(1000003952,'10'),
(1000003952,'28'),
(1000003953,'23'),
(1000003953,'11'),
(1000003953,'12'),
(1000003954,'29'),
(1000003954,'13'),
(1000003955,'14'),
(1000003955,'15'),
(1000003956,'24'),
(1000003956,'25'),
(1000003956,'1'),
(1000003957,'2'),
(1000003957,'26'),
(1000003957,'16'),
(1000003958,'17'),
(1000003958,'3'),
(1000003959,'4'),
(1000003959,'5'),
(1000003960,'18'),
(1000003960,'6'),
(1000003961,'7'),
(1000003961,'19'),
(1000003961,'20'),
(1000003962,'27'),
(1000003963,'8'),
(1000003963,'9'),
(1000003963,'21'),
(1000003964,'22'),
(1000003964,'30'),
(1000003964,'10'),
(1000003965,'28'),
(1000003965,'23'),
(1000003965,'11'),
(1000003966,'12'),
(1000003966,'29'),
(1000003966,'13'),
(1000003967,'14'),
(1000003967,'15'),
(1000003967,'24'),
(1000003968,'25'),
(1000003968,'1'),
(1000003969,'2'),
(1000003969,'26'),
(1000003969,'16'),
(1000003970,'17'),
(1000003970,'3'),
(1000003970,'4'),
(1000003971,'5'),
(1000003971,'18'),
(1000003971,'6'),
(1000003972,'7'),
(1000003973,'19'),
(1000003973,'20'),
(1000003974,'27'),
(1000003974,'8'),
(1000003975,'9'),
(1000003975,'21'),
(1000003975,'22'),
(1000003976,'30'),
(1000003977,'10'),
(1000003977,'28'),
(1000003978,'23'),
(1000003978,'11'),
(1000003979,'12'),
(1000003979,'29'),
(1000003979,'13'),
(1000003980,'14'),
(1000003980,'15'),
(1000003980,'24'),
(1000003981,'25'),
(1000003981,'1'),
(1000003982,'2'),
(1000003982,'26'),
(1000003982,'16'),
(1000003983,'17'),
(1000003984,'3'),
(1000003984,'4'),
(1000003984,'5'),
(1000003985,'18'),
(1000003985,'6'),
(1000003986,'7'),
(1000003987,'19'),
(1000003988,'20'),
(1000003988,'27'),
(1000003988,'8'),
(1000003989,'9'),
(1000003989,'21'),
(1000003989,'22'),
(1000003990,'30'),
(1000003990,'10'),
(1000003991,'28'),
(1000003992,'23'),
(1000003992,'11'),
(1000003993,'12'),
(1000003994,'29'),
(1000003994,'13'),
(1000003994,'14'),
(1000003995,'15'),
(1000003995,'24'),
(1000003996,'25'),
(1000003996,'1'),
(1000003996,'2'),
(1000003997,'26'),
(1000003997,'16'),
(1000003997,'17'),
(1000003998,'3'),
(1000003998,'4'),
(1000003998,'5'),
(1000003999,'18'),
(1000003999,'6'),
(1000003999,'7'),
(1000004000,'19'),
(1000004001,'20'),
(1000004001,'27'),
(1000004001,'8'),
(1000004002,'9'),
(1000004002,'21'),
(1000004002,'22'),
(1000004003,'30'),
(1000004003,'10'),
(1000004004,'28'),
(1000004004,'23'),
(1000004005,'11'),
(1000004006,'12'),
(1000004006,'29'),
(1000004007,'13'),
(1000004008,'14'),
(1000004009,'15'),
(1000004009,'24'),
(1000004010,'25'),
(1000004010,'1'),
(1000004011,'2'),
(1000004011,'26'),
(1000004011,'16'),
(1000004012,'17'),
(1000004012,'3'),
(1000004012,'4'),
(1000004013,'5'),
(1000004013,'18'),
(1000004014,'6'),
(1000004014,'7'),
(1000004015,'19'),
(1000004015,'20'),
(1000004016,'27'),
(1000004016,'8'),
(1000004016,'9'),
(1000004017,'21'),
(1000004018,'22'),
(1000004018,'30'),
(1000004018,'10'),
(1000004019,'28'),
(1000004019,'23'),
(1000004020,'11'),
(1000004020,'12'),
(1000004021,'29'),
(1000004022,'13'),
(1000004022,'14'),
(1000004022,'15'),
(1000004023,'24'),
(1000004023,'25'),
(1000004023,'1'),
(1000004024,'2'),
(1000004025,'26'),
(1000004025,'16'),
(1000004026,'17'),
(1000004026,'3'),
(1000004027,'4'),
(1000004027,'5'),
(1000004027,'18'),
(1000004028,'6'),
(1000004029,'7'),
(1000004030,'19'),
(1000004030,'20'),
(1000004030,'27'),
(1000004031,'8'),
(1000004032,'9'),
(1000004032,'21'),
(1000004033,'22'),
(1000004033,'30'),
(1000004033,'10'),
(1000004034,'28'),
(1000004034,'23'),
(1000004035,'11'),
(1000004035,'12'),
(1000004035,'29'),
(1000004036,'13'),
(1000004036,'14'),
(1000004036,'15'),
(1000004037,'24'),
(1000004037,'25'),
(1000004037,'1'),
(1000004038,'2'),
(1000004039,'26'),
(1000004039,'16'),
(1000004039,'17'),
(1000004040,'3'),
(1000004040,'4'),
(1000004041,'5'),
(1000004041,'18'),
(1000004041,'6'),
(1000004042,'7'),
(1000004042,'19'),
(1000004043,'20'),
(1000004044,'27'),
(1000004045,'8'),
(1000004045,'9'),
(1000004045,'21'),
(1000004046,'22'),
(1000004046,'30'),
(1000004046,'10'),
(1000004047,'28'),
(1000004048,'23'),
(1000004048,'11'),
(1000004048,'12'),
(1000004049,'29'),
(1000004050,'13'),
(1000004050,'14'),
(1000004051,'15'),
(1000004052,'24'),
(1000004053,'25'),
(1000004054,'1'),
(1000004054,'2'),
(1000004055,'26'),
(1000004056,'16'),
(1000004056,'17'),
(1000004057,'3'),
(1000004058,'4'),
(1000004058,'5'),
(1000004059,'18'),
(1000004059,'6'),
(1000004060,'7'),
(1000004060,'19'),
(1000004061,'20'),
(1000004062,'27'),
(1000004063,'8'),
(1000004063,'9'),
(1000004064,'21'),
(1000004065,'22'),
(1000004066,'30'),
(1000004067,'10'),
(1000004068,'28'),
(1000004068,'23'),
(1000004068,'11'),
(1000004069,'12'),
(1000004069,'29'),
(1000004070,'13'),
(1000004070,'14'),
(1000004070,'15'),
(1000004071,'24'),
(1000004072,'25'),
(1000004072,'1'),
(1000004072,'2'),
(1000004073,'26'),
(1000004073,'16'),
(1000004074,'17'),
(1000004074,'3'),
(1000004074,'4'),
(1000004075,'5'),
(1000004075,'18'),
(1000004075,'6'),
(1000004076,'7'),
(1000004076,'19'),
(1000004077,'20'),
(1000004077,'27'),
(1000004078,'8'),
(1000004079,'9'),
(1000004079,'21'),
(1000004079,'22'),
(1000004080,'30'),
(1000004081,'10'),
(1000004081,'28'),
(1000004081,'23'),
(1000004082,'11'),
(1000004083,'12'),
(1000004084,'29'),
(1000004084,'13'),
(1000004085,'14'),
(1000004085,'15'),
(1000004085,'24'),
(1000004086,'25'),
(1000004086,'1'),
(1000004086,'2'),
(1000004087,'26'),
(1000004088,'16'),
(1000004089,'17'),
(1000004089,'3'),
(1000004090,'4'),
(1000004090,'5'),
(1000004091,'18'),
(1000004092,'6'),
(1000004092,'7'),
(1000004093,'19'),
(1000004094,'20'),
(1000004094,'27'),
(1000004095,'8'),
(1000004096,'9'),
(1000004096,'21'),
(1000004097,'22'),
(1000004097,'30'),
(1000004098,'10'),
(1000004098,'28'),
(1000004099,'23'),
(1000004100,'11'),
(1000004100,'12'),
(1000004100,'29'),
(1000004101,'13'),
(1000004101,'14'),
(1000004102,'15'),
(1000004103,'24'),
(1000004104,'25'),
(1000004104,'1'),
(1000004105,'2'),
(1000004106,'26'),
(1000004106,'16'),
(1000004106,'17'),
(1000004107,'3'),
(1000004107,'4'),
(1000004107,'5'),
(1000004108,'18'),
(1000004109,'6'),
(1000004110,'7'),
(1000004111,'19'),
(1000004112,'20'),
(1000004112,'27'),
(1000004112,'8'),
(1000004113,'9'),
(1000004113,'21'),
(1000004114,'22'),
(1000004114,'30'),
(1000004115,'10'),
(1000004115,'28'),
(1000004116,'23'),
(1000004116,'11'),
(1000004116,'12'),
(1000004117,'29'),
(1000004117,'13'),
(1000004118,'14'),
(1000004118,'15'),
(1000004118,'24'),
(1000004119,'25'),
(1000004120,'1'),
(1000004120,'2'),
(1000004121,'26'),
(1000004122,'16'),
(1000004122,'17'),
(1000004123,'3'),
(1000004124,'4'),
(1000004125,'5'),
(1000004125,'18'),
(1000004126,'6'),
(1000004126,'7'),
(1000004126,'19'),
(1000004127,'20'),
(1000004127,'27'),
(1000004127,'8'),
(1000004128,'9'),
(1000004128,'21'),
(1000004128,'22'),
(1000004129,'30'),
(1000004130,'10'),
(1000004131,'28'),
(1000004132,'23'),
(1000004133,'11'),
(1000004134,'12'),
(1000004134,'29'),
(1000004135,'13'),
(1000004135,'14'),
(1000004135,'15'),
(1000004136,'24'),
(1000004137,'25'),
(1000004137,'1'),
(1000004137,'2'),
(1000004138,'26'),
(1000004139,'16'),
(1000004139,'17'),
(1000004140,'3'),
(1000004141,'4'),
(1000004141,'5'),
(1000004141,'18'),
(1000004142,'6'),
(1000004142,'7'),
(1000004142,'19'),
(1000004143,'20'),
(1000004143,'27'),
(1000004143,'8'),
(1000004144,'9'),
(1000004144,'21'),
(1000004144,'22'),
(1000004145,'30'),
(1000004145,'10'),
(1000004145,'28'),
(1000004146,'23'),
(1000004147,'11'),
(1000004147,'12'),
(1000004148,'29'),
(1000004148,'13'),
(1000004148,'14'),
(1000004149,'15'),
(1000004149,'24'),
(1000004149,'25'),
(1000004150,'1'),
(1000004151,'2'),
(1000004151,'26'),
(1000004152,'16'),
(1000004152,'17'),
(1000004153,'3'),
(1000004153,'4'),
(1000004154,'5'),
(1000004154,'18'),
(1000004154,'6'),
(1000004155,'7'),
(1000004156,'19'),
(1000004156,'20'),
(1000004157,'27'),
(1000004157,'8'),
(1000004157,'9'),
(1000004158,'21'),
(1000004159,'22'),
(1000004159,'30'),
(1000004159,'10'),
(1000004160,'28'),
(1000004160,'23'),
(1000004160,'11'),
(1000004161,'12'),
(1000004161,'29'),
(1000004161,'13'),
(1000004162,'14'),
(1000004163,'15'),
(1000004163,'24'),
(1000004163,'25'),
(1000004164,'1'),
(1000004164,'2'),
(1000004164,'26'),
(1000004165,'16'),
(1000004166,'17'),
(1000004166,'3'),
(1000004166,'4'),
(1000004167,'5'),
(1000004167,'18'),
(1000004167,'6'),
(1000004168,'7'),
(1000004169,'19'),
(1000004169,'20'),
(1000004170,'27'),
(1000004171,'8'),
(1000004171,'9'),
(1000004172,'21'),
(1000004172,'22'),
(1000004173,'30'),
(1000004174,'10'),
(1000004174,'28'),
(1000004175,'23'),
(1000004175,'11'),
(1000004175,'12'),
(1000004176,'29'),
(1000004176,'13'),
(1000004176,'14'),
(1000004177,'15'),
(1000004178,'24'),
(1000004178,'25'),
(1000004179,'1'),
(1000004180,'2'),
(1000004181,'26'),
(1000004181,'16'),
(1000004182,'17'),
(1000004182,'3'),
(1000004182,'4'),
(1000004183,'5'),
(1000004183,'18'),
(1000004183,'6'),
(1000004184,'7'),
(1000004185,'19'),
(1000004185,'20'),
(1000004186,'27'),
(1000004186,'8'),
(1000004187,'9'),
(1000004187,'21'),
(1000004188,'22'),
(1000004189,'30'),
(1000004189,'10'),
(1000004190,'28'),
(1000004190,'23'),
(1000004191,'11'),
(1000004191,'12'),
(1000004191,'29'),
(1000004192,'13'),
(1000004193,'14'),
(1000004193,'15'),
(1000004194,'24'),
(1000004195,'25'),
(1000004195,'1'),
(1000004195,'2'),
(1000004196,'26'),
(1000004196,'16'),
(1000004197,'17'),
(1000004198,'3'),
(1000004199,'4'),
(1000004200,'5'),
(1000004201,'18'),
(1000004201,'6'),
(1000004201,'7'),
(1000004202,'19'),
(1000004203,'20'),
(1000004203,'27'),
(1000004203,'8'),
(1000004204,'9'),
(1000004204,'21'),
(1000004204,'22'),
(1000004205,'30'),
(1000004205,'10'),
(1000004205,'28'),
(1000004206,'23'),
(1000004206,'11'),
(1000004207,'12'),
(1000004208,'29'),
(1000004209,'13'),
(1000004210,'14'),
(1000004210,'15'),
(1000004211,'24'),
(1000004211,'25'),
(1000004212,'1'),
(1000004212,'2'),
(1000004213,'26'),
(1000004213,'16'),
(1000004213,'17'),
(1000004214,'3'),
(1000004214,'4'),
(1000004214,'5'),
(1000004215,'18'),
(1000004215,'6'),
(1000004215,'7'),
(1000004216,'19'),
(1000004216,'20'),
(1000004216,'27'),
(1000004217,'8'),
(1000004218,'9'),
(1000004219,'21'),
(1000004219,'22'),
(1000004220,'30'),
(1000004220,'10'),
(1000004220,'28'),
(1000004221,'23'),
(1000004222,'11'),
(1000004222,'12'),
(1000004222,'29'),
(1000004223,'13'),
(1000004223,'14'),
(1000004223,'15'),
(1000004224,'24'),
(1000004225,'25'),
(1000004226,'1'),
(1000004226,'2'),
(1000004227,'26'),
(1000004227,'16'),
(1000004227,'17'),
(1000004228,'3'),
(1000004229,'4'),
(1000004229,'5'),
(1000004229,'18'),
(1000004230,'6'),
(1000004230,'7'),
(1000004231,'19'),
(1000004231,'20'),
(1000004232,'27'),
(1000004232,'8'),
(1000004233,'9'),
(1000004233,'21'),
(1000004234,'22'),
(1000004234,'30'),
(1000004234,'10'),
(1000004235,'28'),
(1000004235,'23'),
(1000004236,'11'),
(1000004236,'12'),
(1000004237,'29'),
(1000004237,'13'),
(1000004238,'14'),
(1000004238,'15'),
(1000004238,'24'),
(1000004239,'25'),
(1000004240,'1'),
(1000004240,'2'),
(1000004240,'26'),
(1000004241,'16'),
(1000004242,'17'),
(1000004243,'3'),
(1000004243,'4'),
(1000004244,'5'),
(1000004244,'18'),
(1000004245,'6'),
(1000004245,'7'),
(1000004245,'19'),
(1000004246,'20'),
(1000004247,'27'),
(1000004247,'8'),
(1000004248,'9'),
(1000004249,'21'),
(1000004249,'22'),
(1000004249,'30'),
(1000004250,'10'),
(1000004250,'28'),
(1000004251,'23'),
(1000004251,'11'),
(1000004251,'12'),
(1000004252,'29'),
(1000004252,'13'),
(1000004253,'14'),
(1000004253,'15'),
(1000004253,'24'),
(1000004254,'25'),
(1000004255,'1'),
(1000004255,'2'),
(1000004255,'26'),
(1000004256,'16'),
(1000004257,'17'),
(1000004257,'3'),
(1000004258,'4'),
(1000004258,'5'),
(1000004259,'18'),
(1000004260,'6'),
(1000004261,'7'),
(1000004261,'19'),
(1000004262,'20'),
(1000004262,'27'),
(1000004263,'8'),
(1000004264,'9'),
(1000004265,'21'),
(1000004266,'22'),
(1000004266,'30'),
(1000004267,'10'),
(1000004267,'28'),
(1000004267,'23'),
(1000004268,'11'),
(1000004268,'12'),
(1000004268,'29'),
(1000004269,'13'),
(1000004269,'14'),
(1000004270,'15'),
(1000004270,'24'),
(1000004271,'25'),
(1000004271,'1'),
(1000004271,'2'),
(1000004272,'26'),
(1000004272,'16'),
(1000004272,'17'),
(1000004273,'3'),
(1000004273,'4'),
(1000004274,'5'),
(1000004274,'18'),
(1000004275,'6'),
(1000004276,'7'),
(1000004277,'19'),
(1000004277,'20'),
(1000004278,'27'),
(1000004278,'8'),
(1000004279,'9'),
(1000004279,'21'),
(1000004279,'22'),
(1000004280,'30'),
(1000004280,'10'),
(1000004281,'28'),
(1000004281,'23'),
(1000004282,'11'),
(1000004283,'12'),
(1000004283,'29'),
(1000004284,'13'),
(1000004284,'14'),
(1000004285,'15'),
(1000004286,'24'),
(1000004287,'25'),
(1000004288,'1'),
(1000004288,'2'),
(1000004289,'26'),
(1000004289,'16'),
(1000004289,'17'),
(1000004290,'3'),
(1000004290,'4'),
(1000004290,'5'),
(1000004291,'18'),
(1000004291,'6'),
(1000004291,'7'),
(1000004292,'19'),
(1000004292,'20'),
(1000004292,'27'),
(1000004293,'8'),
(1000004293,'9'),
(1000004293,'21'),
(1000004294,'22'),
(1000004295,'30'),
(1000004295,'10'),
(1000004296,'28'),
(1000004297,'23'),
(1000004297,'11'),
(1000004297,'12'),
(1000004298,'29'),
(1000004298,'13'),
(1000004298,'14'),
(1000004299,'15'),
(1000004299,'24'),
(1000004300,'25'),
(1000004300,'1'),
(1000004300,'2'),
(1000004301,'26'),
(1000004302,'16'),
(1000004302,'17'),
(1000004302,'3'),
(1000004303,'4'),
(1000004304,'5'),
(1000004304,'18'),
(1000004304,'6'),
(1000004305,'7'),
(1000004305,'19'),
(1000004306,'20'),
(1000004306,'27'),
(1000004307,'8'),
(1000004307,'9'),
(1000004308,'21'),
(1000004309,'22'),
(1000004309,'30'),
(1000004309,'10'),
(1000004310,'28'),
(1000004310,'23'),
(1000004311,'11'),
(1000004311,'12'),
(1000004311,'29'),
(1000004312,'13'),
(1000004313,'14'),
(1000004313,'15'),
(1000004313,'24'),
(1000004314,'25'),
(1000004315,'1'),
(1000004315,'2'),
(1000004316,'26'),
(1000004316,'16'),
(1000004317,'17'),
(1000004318,'3'),
(1000004319,'4'),
(1000004319,'5'),
(1000004319,'18'),
(1000004320,'6'),
(1000004320,'7'),
(1000004320,'19'),
(1000004321,'20'),
(1000004322,'27'),
(1000004323,'8'),
(1000004323,'9'),
(1000004323,'21'),
(1000004324,'22'),
(1000004324,'30'),
(1000004325,'10'),
(1000004325,'28'),
(1000004326,'23'),
(1000004326,'11'),
(1000004327,'12'),
(1000004327,'29'),
(1000004327,'13'),
(1000004328,'14'),
(1000004328,'15'),
(1000004328,'24'),
(1000004329,'25'),
(1000004329,'1'),
(1000004330,'2'),
(1000004331,'26'),
(1000004332,'16'),
(1000004333,'17'),
(1000004333,'3'),
(1000004333,'4'),
(1000004334,'5'),
(1000004334,'18'),
(1000004335,'6'),
(1000004335,'7'),
(1000004336,'19'),
(1000004337,'20'),
(1000004337,'27'),
(1000004337,'8'),
(1000004338,'9'),
(1000004338,'21'),
(1000004338,'22'),
(1000004339,'30'),
(1000004340,'10'),
(1000004341,'28'),
(1000004341,'23'),
(1000004341,'11'),
(1000004342,'12'),
(1000004342,'29'),
(1000004342,'13'),
(1000004343,'14'),
(1000004343,'15'),
(1000004344,'24'),
(1000004344,'25'),
(1000004345,'1'),
(1000004345,'2'),
(1000004346,'26'),
(1000004346,'16'),
(1000004347,'17'),
(1000004347,'3'),
(1000004347,'4'),
(1000004348,'5'),
(1000004349,'18'),
(1000004349,'6'),
(1000004350,'7'),
(1000004351,'19'),
(1000004351,'20'),
(1000004352,'27'),
(1000004352,'8'),
(1000004352,'9'),
(1000004353,'21'),
(1000004353,'22'),
(1000004353,'30'),
(1000004354,'10'),
(1000004354,'28'),
(1000004355,'23'),
(1000004355,'11'),
(1000004355,'12'),
(1000004356,'29'),
(1000004357,'13'),
(1000004357,'14'),
(1000004357,'15'),
(1000004358,'24'),
(1000004358,'25'),
(1000004359,'1'),
(1000004359,'2'),
(1000004360,'26'),
(1000004360,'16'),
(1000004360,'17'),
(1000004361,'3'),
(1000004361,'4'),
(1000004362,'5'),
(1000004363,'18'),
(1000004364,'6'),
(1000004364,'7'),
(1000004364,'19'),
(1000004365,'20'),
(1000004366,'27'),
(1000004366,'8'),
(1000004367,'9'),
(1000004367,'21'),
(1000004368,'22'),
(1000004368,'30'),
(1000004368,'10'),
(1000004369,'28'),
(1000004369,'23'),
(1000004370,'11'),
(1000004371,'12'),
(1000004371,'29'),
(1000004371,'13'),
(1000004372,'14'),
(1000004372,'15'),
(1000004372,'24'),
(1000004373,'25'),
(1000004373,'1'),
(1000004374,'2'),
(1000004374,'26'),
(1000004375,'16'),
(1000004376,'17'),
(1000004376,'3'),
(1000004376,'4'),
(1000004377,'5'),
(1000004378,'18'),
(1000004378,'6'),
(1000004378,'7'),
(1000004379,'19'),
(1000004379,'20'),
(1000004380,'27'),
(1000004380,'8'),
(1000004381,'9'),
(1000004381,'21'),
(1000004382,'22'),
(1000004382,'30'),
(1000004383,'10'),
(1000004383,'28'),
(1000004383,'23'),
(1000004384,'11'),
(1000004384,'12'),
(1000004384,'29'),
(1000004385,'13'),
(1000004385,'14'),
(1000004386,'15'),
(1000004386,'24'),
(1000004387,'25'),
(1000004387,'1'),
(1000004388,'2'),
(1000004389,'26'),
(1000004389,'16'),
(1000004389,'17'),
(1000004390,'3'),
(1000004391,'4'),
(1000004391,'5'),
(1000004392,'18'),
(1000004392,'6'),
(1000004392,'7'),
(1000004393,'19'),
(1000004393,'20'),
(1000004393,'27'),
(1000004394,'8'),
(1000004395,'9'),
(1000004396,'21'),
(1000004396,'22'),
(1000004397,'30'),
(1000004397,'10'),
(1000004397,'28'),
(1000004398,'23'),
(1000004398,'11'),
(1000004398,'12'),
(1000004399,'29'),
(1000004399,'13'),
(1000004399,'14'),
(1000004400,'15'),
(1000004401,'24'),
(1000004401,'25'),
(1000004402,'1'),
(1000004402,'2'),
(1000004403,'26'),
(1000004404,'16'),
(1000004405,'17'),
(1000004406,'3'),
(1000004406,'4'),
(1000004407,'5'),
(1000004407,'18'),
(1000004407,'6'),
(1000004408,'7'),
(1000004409,'19'),
(1000004410,'20'),
(1000004410,'27'),
(1000004410,'8'),
(1000004411,'9'),
(1000004411,'21'),
(1000004412,'22'),
(1000004412,'30'),
(1000004412,'10'),
(1000004413,'28'),
(1000004414,'23'),
(1000004415,'11'),
(1000004415,'12'),
(1000004415,'29'),
(1000004416,'13'),
(1000004416,'14'),
(1000004416,'15'),
(1000004417,'24'),
(1000004418,'25'),
(1000004418,'1'),
(1000004419,'2'),
(1000004419,'26'),
(1000004419,'16'),
(1000004420,'17'),
(1000004420,'3'),
(1000004420,'4'),
(1000004421,'5'),
(1000004421,'18'),
(1000004421,'6'),
(1000004422,'7'),
(1000004422,'19'),
(1000004423,'20'),
(1000004423,'27'),
(1000004423,'8'),
(1000004424,'9'),
(1000004424,'21'),
(1000004424,'22'),
(1000004425,'30'),
(1000004425,'10'),
(1000004426,'28'),
(1000004427,'23'),
(1000004428,'11'),
(1000004428,'12'),
(1000004428,'29'),
(1000004429,'13'),
(1000004429,'14'),
(1000004429,'15'),
(1000004430,'24'),
(1000004431,'25'),
(1000004432,'1'),
(1000004433,'2'),
(1000004433,'26'),
(1000004433,'16'),
(1000004434,'17'),
(1000004435,'3'),
(1000004436,'4'),
(1000004436,'5'),
(1000004437,'18'),
(1000004438,'6'),
(1000004439,'7'),
(1000004439,'19'),
(1000004440,'20'),
(1000004440,'27'),
(1000004441,'8'),
(1000004441,'9'),
(1000004441,'21'),
(1000004442,'22'),
(1000004443,'30'),
(1000004443,'10'),
(1000004443,'28'),
(1000004444,'23'),
(1000004445,'11'),
(1000004446,'12'),
(1000004446,'29'),
(1000004447,'13'),
(1000004447,'14'),
(1000004447,'15'),
(1000004448,'24'),
(1000004448,'25'),
(1000004449,'1'),
(1000004450,'2'),
(1000004450,'26'),
(1000004450,'16'),
(1000004451,'17'),
(1000004452,'3'),
(1000004453,'4'),
(1000004453,'5'),
(1000004454,'18'),
(1000004454,'6'),
(1000004454,'7'),
(1000004455,'19'),
(1000004456,'20'),
(1000004457,'27'),
(1000004458,'8'),
(1000004458,'9'),
(1000004459,'21'),
(1000004459,'22'),
(1000004459,'30'),
(1000004460,'10'),
(1000004460,'28'),
(1000004460,'23'),
(1000004461,'11'),
(1000004462,'12'),
(1000004463,'29'),
(1000004464,'13'),
(1000004465,'14'),
(1000004465,'15'),
(1000004466,'24'),
(1000004466,'25'),
(1000004466,'1'),
(1000004467,'2'),
(1000004467,'26'),
(1000004468,'16'),
(1000004468,'17'),
(1000004468,'3'),
(1000004469,'4'),
(1000004470,'5'),
(1000004471,'18'),
(1000004472,'6'),
(1000004472,'7'),
(1000004473,'19'),
(1000004473,'20'),
(1000004473,'27'),
(1000004474,'8'),
(1000004474,'9'),
(1000004475,'21'),
(1000004475,'22'),
(1000004476,'30'),
(1000004476,'10'),
(1000004476,'28'),
(1000004477,'23'),
(1000004477,'11'),
(1000004477,'12'),
(1000004478,'29'),
(1000004478,'13'),
(1000004479,'14'),
(1000004479,'15'),
(1000004479,'24'),
(1000004480,'25'),
(1000004480,'1'),
(1000004480,'2'),
(1000004481,'26'),
(1000004482,'16'),
(1000004482,'17'),
(1000004482,'3'),
(1000004483,'4'),
(1000004483,'5'),
(1000004483,'18'),
(1000004484,'6'),
(1000004484,'7'),
(1000004484,'19'),
(1000004485,'20'),
(1000004485,'27'),
(1000004486,'8'),
(1000004486,'9'),
(1000004487,'21'),
(1000004487,'22'),
(1000004488,'30'),
